code;label;terminal;underlyingCauseUse;usCreated;nonCreatedCode
F174;Mental and behavioural disorders due to use of tobacco: Withdrawal state with delirium;1;1;0;
F175;Mental and behavioural disorders due to use of tobacco: Psychotic disorder;1;1;0;
F176;Mental and behavioural disorders due to use of tobacco: Amnesic syndrome;1;1;0;
F177;Mental and behavioural disorders due to use of tobacco: Residual and late-onset psychotic disorder;1;1;0;
F178;Mental and behavioural disorders due to use of tobacco: Other mental and behavioural disorders;1;1;0;
F179;Mental and behavioural disorders due to use of tobacco: Unspecified mental and behavioural disorder;1;1;0;
F18;Mental and behavioural disorders due to use of volatile solvents;0;0;0;
F180;Mental and behavioural disorders due to use of volatile solvents: Acute intoxication;1;0;0;
F181;Mental and behavioural disorders due to use of volatile solvents: Harmful use;1;1;0;
F182;Mental and behavioural disorders due to use of volatile solvents: Dependence syndrome;1;1;0;
F183;Mental and behavioural disorders due to use of volatile solvents: Withdrawal state;1;1;0;
F184;Mental and behavioural disorders due to use of volatile solvents: Withdrawal state with delirium;1;1;0;
F185;Mental and behavioural disorders due to use of volatile solvents: Psychotic disorder;1;1;0;
F186;Mental and behavioural disorders due to use of volatile solvents: Amnesic syndrome;1;1;0;
F187;Mental and behavioural disorders due to use of volatile solvents: Residual and late-onset psychotic disorder;1;1;0;
F188;Mental and behavioural disorders due to use of volatile solvents: Other mental and behavioural disorders;1;1;0;
F189;Mental and behavioural disorders due to use of volatile solvents: Unspecified mental and behavioural disorder;1;1;0;
F19;Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances;0;0;0;
F190;Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Acute intoxication;1;0;0;
F191;Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Harmful use;1;1;0;
F192;Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Dependence syndrome;1;1;0;
F193;Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Withdrawal state;1;1;0;
F194;Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Withdrawal state with delirium;1;1;0;
F195;Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Psychotic disorder;1;1;0;
F196;Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Amnesic syndrome;1;1;0;
F197;Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Residual and late-onset psychotic disorder;1;1;0;
F198;Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Other mental and behavioural disorders;1;1;0;
F199;Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Unspecified mental and behavioural disorder;1;1;0;
F20;Schizophrenia;0;0;0;
F200;Paranoid schizophrenia;1;1;0;
F201;Hebephrenic schizophrenia;1;1;0;
F202;Catatonic schizophrenia;1;1;0;
F203;Undifferentiated schizophrenia;1;1;0;
F204;Post-schizophrenic depression;1;1;0;
F205;Residual schizophrenia;1;1;0;
F206;Simple schizophrenia;1;1;0;
F208;Other schizophrenia;1;1;0;
F209;Schizophrenia, unspecified;1;1;0;
F21;Schizotypal disorder;1;1;0;
F22;Persistent delusional disorders;0;0;0;
F220;Delusional disorder;1;1;0;
F228;Other persistent delusional disorders;1;1;0;
F229;Persistent delusional disorder, unspecified;1;1;0;
F23;Acute and transient psychotic disorders;0;0;0;
F230;Acute polymorphic psychotic disorder without symptoms of schizophrenia;1;1;0;
F231;Acute polymorphic psychotic disorder with symptoms of schizophrenia;1;1;0;
F232;Acute schizophrenia-like psychotic disorder;1;1;0;
F233;Other acute predominantly delusional psychotic disorders;1;1;0;
F238;Other acute and transient psychotic disorders;1;1;0;
F239;Acute and transient psychotic disorder, unspecified;1;1;0;
F24;Induced delusional disorder;1;1;0;
F25;Schizoaffective disorders;0;0;0;
F250;Schizoaffective disorder, manic type;1;1;0;
F251;Schizoaffective disorder, depressive type;1;1;0;
F252;Schizoaffective disorder, mixed type;1;1;0;
F258;Other schizoaffective disorders;1;1;0;
F259;Schizoaffective disorder, unspecified;1;1;0;
F28;Other nonorganic psychotic disorders;1;1;0;
F29;Unspecified nonorganic psychosis;1;1;0;
F30;Manic episode;0;0;0;
F300;Hypomania;1;1;0;
F301;Mania without psychotic symptoms;1;1;0;
F302;Mania with psychotic symptoms;1;1;0;
F308;Other manic episodes;1;1;0;
F309;Manic episode, unspecified;1;1;0;
F31;Bipolar affective disorder;0;0;0;
F310;Bipolar affective disorder, current episode hypomanic;1;1;0;
F311;Bipolar affective disorder, current episode manic without psychotic symptoms;1;1;0;
F312;Bipolar affective disorder, current episode manic with psychotic symptoms;1;1;0;
F313;Bipolar affective disorder, current episode mild or moderate depression;1;1;0;
F314;Bipolar affective disorder, current episode severe depression without psychotic symptoms;1;1;0;
F315;Bipolar affective disorder, current episode severe depression with psychotic symptoms;1;1;0;
F316;Bipolar affective disorder, current episode mixed;1;1;0;
F317;Bipolar affective disorder, currently in remission;1;1;0;
F318;Other bipolar affective disorders;1;1;0;
F319;Bipolar affective disorder, unspecified;1;1;0;
F32;Depressive episode;0;0;0;
F320;Mild depressive episode;1;1;0;
F321;Moderate depressive episode;1;1;0;
F322;Severe depressive episode without psychotic symptoms;1;1;0;
F323;Severe depressive episode with psychotic symptoms;1;1;0;
F328;Other depressive episodes;1;1;0;
F329;Depressive episode, unspecified;1;1;0;
F33;Recurrent depressive disorder;0;0;0;
F330;Recurrent depressive disorder, current episode mild;1;1;0;
F331;Recurrent depressive disorder, current episode moderate;1;1;0;
F332;Recurrent depressive disorder, current episode severe without psychotic symptoms;1;1;0;
F333;Recurrent depressive disorder, current episode severe with psychotic symptoms;1;1;0;
F334;Recurrent depressive disorder, currently in remission;1;1;0;
F338;Other recurrent depressive disorders;1;1;0;
F339;Recurrent depressive disorder, unspecified;1;1;0;
F34;Persistent mood [affective] disorders;0;0;0;
F340;Cyclothymia;1;1;0;
F341;Dysthymia;1;1;0;
F348;Other persistent mood [affective] disorders;1;1;0;
F349;Persistent mood [affective] disorder, unspecified;1;1;0;
F38;Other mood [affective] disorders;0;0;0;
F380;Other single mood [affective] disorders;1;1;0;
F381;Other recurrent mood [affective] disorders;1;1;0;
F388;Other specified mood [affective] disorders;1;1;0;
F39;Unspecified mood [affective] disorder;1;1;0;
F40;Phobic anxiety disorders;0;0;0;
F400;Agoraphobia;1;1;0;
F401;Social phobias;1;1;0;
F402;Specific (isolated) phobias;1;1;0;
F408;Other phobic anxiety disorders;1;1;0;
F409;Phobic anxiety disorder, unspecified;1;1;0;
F41;Other anxiety disorders;0;0;0;
F410;Panic disorder [episodic paroxysmal anxiety];1;1;0;
F411;Generalized anxiety disorder;1;1;0;
F412;Mixed anxiety and depressive disorder;1;1;0;
F413;Other mixed anxiety disorders;1;1;0;
F418;Other specified anxiety disorders;1;1;0;
F419;Anxiety disorder, unspecified;1;1;0;
F42;Obsessive-compulsive disorder;0;0;0;
F420;Predominantly obsessional thoughts or ruminations;1;1;0;
F421;Predominantly compulsive acts [obsessional rituals];1;1;0;
F422;Mixed obsessional thoughts and acts;1;1;0;
F428;Other obsessive-compulsive disorders;1;1;0;
F429;Obsessive-compulsive disorder, unspecified;1;1;0;
F43;Reaction to severe stress, and adjustment disorders;0;0;0;
F430;Acute stress reaction;1;1;0;
F431;Post-traumatic stress disorder;1;1;0;
F432;Adjustment disorders;1;1;0;
F438;Other reactions to severe stress;1;1;0;
F439;Reaction to severe stress, unspecified;1;1;0;
F44;Dissociative [conversion] disorders;0;0;0;
F440;Dissociative amnesia;1;1;0;
F441;Dissociative fugue;1;1;0;
F442;Dissociative stupor;1;1;0;
F443;Trance and possession disorders;1;1;0;
F444;Dissociative motor disorders;1;1;0;
F445;Dissociative convulsions;1;1;0;
F446;Dissociative anaesthesia and sensory loss;1;1;0;
F447;Mixed dissociative [conversion] disorders;1;1;0;
F448;Other dissociative [conversion] disorders;1;1;0;
F449;Dissociative [conversion] disorder, unspecified;1;1;0;
F45;Somatoform disorders;0;0;0;
F450;Somatization disorder;1;1;0;
F451;Undifferentiated somatoform disorder;1;1;0;
F452;Hypochondriacal disorder;1;1;0;
F453;Somatoform autonomic dysfunction;1;1;0;
F454;Persistent somatoform pain disorder;1;1;0;
F458;Other somatoform disorders;1;1;0;
F459;Somatoform disorder, unspecified;1;1;0;
F48;Other neurotic disorders;0;0;0;
F480;Neurasthenia;1;1;0;
F481;Depersonalization-derealization syndrome;1;1;0;
F488;Other specified neurotic disorders;1;1;0;
F489;Neurotic disorder, unspecified;1;1;0;
F50;Eating disorders;0;0;0;
F500;Anorexia nervosa;1;1;0;
F501;Atypical anorexia nervosa;1;1;0;
F502;Bulimia nervosa;1;1;0;
F503;Atypical bulimia nervosa;1;1;0;
F504;Overeating associated with other psychological disturbances;1;1;0;
F505;Vomiting associated with other psychological disturbances;1;1;0;
F508;Other eating disorders;1;1;0;
F509;Eating disorder, unspecified;1;1;0;
F51;Nonorganic sleep disorders;0;0;0;
F510;Nonorganic insomnia;1;1;0;
F511;Nonorganic hypersomnia;1;1;0;
F512;Nonorganic disorder of the sleep-wake schedule;1;1;0;
F513;Sleepwalking [somnambulism];1;1;0;
F514;Sleep terrors [night terrors];1;1;0;
F515;Nightmares;1;1;0;
F518;Other nonorganic sleep disorders;1;1;0;
F519;Nonorganic sleep disorder, unspecified;1;1;0;
F52;Sexual dysfunction, not caused by organic disorder or disease;0;0;0;
F520;Lack or loss of sexual desire;1;1;0;
F521;Sexual aversion and lack of sexual enjoyment;1;1;0;
F522;Failure of genital response;1;1;0;
F523;Orgasmic dysfunction;1;1;0;
F524;Premature ejaculation;1;1;0;
F525;Nonorganic vaginismus;1;1;0;
F526;Nonorganic dyspareunia;1;1;0;
F527;Excessive sexual drive;1;1;0;
F528;Other sexual dysfunction, not caused by organic disorder or disease;1;1;0;
F529;Unspecified sexual dysfunction, not caused by organic disorder or disease;1;1;0;
F53;Mental and behavioural disorders associated with the puerperium, not elsewhere classified;0;0;0;
F530;Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified;1;1;0;
F531;Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified;1;1;0;
F538;Other mental and behavioural disorders associated with the puerperium, not elsewhere classified;1;1;0;
F539;Puerperal mental disorder, unspecified;1;1;0;
F54;Psychological and behavioural factors associated with disorders or diseases classified elsewhere;1;1;0;
F55;Abuse of non-dependence-producing substances;1;1;0;
F59;Unspecified behavioural syndromes associated with physiological disturbances and physical factors;1;1;0;
F60;Specific personality disorders;0;0;0;
F600;Paranoid personality disorder;1;1;0;
F601;Schizoid personality disorder;1;1;0;
F602;Dissocial personality disorder;1;1;0;
F603;Emotionally unstable personality disorder;1;1;0;
F604;Histrionic personality disorder;1;1;0;
F605;Anankastic personality disorder;1;1;0;
F606;Anxious [avoidant] personality disorder;1;1;0;
F607;Dependent personality disorder;1;1;0;
F608;Other specific personality disorders;1;1;0;
F609;Personality disorder, unspecified;1;1;0;
F61;Mixed and other personality disorders;1;1;0;
F62;Enduring personality changes, not attributable to brain damage and disease;0;0;0;
F620;Enduring personality change after catastrophic experience;1;1;0;
F621;Enduring personality change after psychiatric illness;1;1;0;
F628;Other enduring personality changes;1;1;0;
F629;Enduring personality change, unspecified;1;1;0;
F63;Habit and impulse disorders;0;0;0;
F630;Pathological gambling;1;1;0;
F631;Pathological fire-setting [pyromania];1;1;0;
F632;Pathological stealing [kleptomania];1;1;0;
F633;Trichotillomania;1;1;0;
F638;Other habit and impulse disorders;1;1;0;
F639;Habit and impulse disorder, unspecified;1;1;0;
F64;Gender identity disorders;0;0;0;
F640;Transsexualism;1;1;0;
F641;Dual-role transvestism;1;1;0;
F642;Gender identity disorder of childhood;1;1;0;
F648;Other gender identity disorders;1;1;0;
F649;Gender identity disorder, unspecified;1;1;0;
F65;Disorders of sexual preference;0;0;0;
F650;Fetishism;1;1;0;
F651;Fetishistic transvestism;1;1;0;
F652;Exhibitionism;1;1;0;
F653;Voyeurism;1;1;0;
F654;Paedophilia;1;1;0;
F655;Sadomasochism;1;1;0;
F656;Multiple disorders of sexual preference;1;1;0;
F658;Other disorders of sexual preference;1;1;0;
F659;Disorder of sexual preference, unspecified;1;1;0;
F66;Psychological and behavioural disorders associated with sexual development and orientation;0;0;0;
F660;Sexual maturation disorder;1;1;0;
F661;Egodystonic sexual orientation;1;1;0;
F662;Sexual relationship disorder;1;1;0;
F668;Other psychosexual development disorders;1;1;0;
F669;Psychosexual development disorder, unspecified;1;1;0;
F68;Other disorders of adult personality and behaviour;0;0;0;
F680;Elaboration of physical symptoms for psychological reasons;1;1;0;
F681;Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder];1;1;0;
F688;Other specified disorders of adult personality and behaviour;1;1;0;
F69;Unspecified disorder of adult personality and behaviour;1;1;0;
F70;Mild mental retardation;1;1;0;
F700;Mild mental retardation: With the statement of no, or minimal, impairment of behaviour;1;1;0;
F701;Mild mental retardation: Significant impairment of behaviour requiring attention or treatment;1;1;0;
F708;Mild mental retardation: Other impairments of behaviour;1;1;0;
F709;Mild mental retardation: Without mention of impairment of behaviour;1;1;0;
F71;Moderate mental retardation;1;1;0;
F710;Moderate mental retardation: With the statement of no, or minimal, impairment of behaviour;1;1;0;
F711;Moderate mental retardation: Significant impairment of behaviour requiring attention or treatment;1;1;0;
F718;Moderate mental retardation: Other impairments of behaviour;1;1;0;
F719;Moderate mental retardation: Without mention of impairment of behaviour;1;1;0;
F72;Severe mental retardation;1;1;0;
F720;Severe mental retardation: With the statement of no, or minimal, impairment of behaviour;1;1;0;
F721;Severe mental retardation: Significant impairment of behaviour requiring attention or treatment;1;1;0;
F728;Severe mental retardation: Other impairments of behaviour;1;1;0;
F729;Severe mental retardation: Without mention of impairment of behaviour;1;1;0;
F73;Profound mental retardation;1;1;0;
F730;Profound mental retardation: With the statement of no, or minimal, impairment of behaviour;1;1;0;
F731;Profound mental retardation: Significant impairment of behaviour requiring attention or treatment;1;1;0;
F738;Profound mental retardation: Other impairments of behaviour;1;1;0;
F739;Profound mental retardation: Without mention of impairment of behaviour;1;1;0;
F78;Other mental retardation;1;1;0;
F780;Other mental retardation: With the statement of no, or minimal, impairment of behaviour;1;1;0;
F781;Other mental retardation: Significant impairment of behaviour requiring attention or treatment;1;1;0;
F788;Other mental retardation: Other impairments of behaviour;1;1;0;
F789;Other mental retardation: Without mention of impairment of behaviour;1;1;0;
F79;Unspecified mental retardation;1;1;0;
F790;Unspecified mental retardation: With the statement of no, or minimal, impairment of behaviour;1;1;0;
F791;Unspecified mental retardation: Significant impairment of behaviour requiring attention or treatment;1;1;0;
F798;Unspecified mental retardation: Other impairments of behaviour;1;1;0;
F799;Unspecified mental retardation: Without mention of impairment of behaviour;1;1;0;
F80;Specific developmental disorders of speech and language;0;0;0;
F800;Specific speech articulation disorder;1;1;0;
F801;Expressive language disorder;1;1;0;
F802;Receptive language disorder;1;1;0;
F803;Acquired aphasia with epilepsy [Landau-Kleffner];1;1;0;
F808;Other developmental disorders of speech and language;1;1;0;
F809;Developmental disorder of speech and language, unspecified;1;1;0;
F81;Specific developmental disorders of scholastic skills;0;0;0;
F810;Specific reading disorder;1;1;0;
F811;Specific spelling disorder;1;1;0;
F812;Specific disorder of arithmetical skills;1;1;0;
F813;Mixed disorder of scholastic skills;1;1;0;
F818;Other developmental disorders of scholastic skills;1;1;0;
F819;Developmental disorder of scholastic skills, unspecified;1;1;0;
F82;Specific developmental disorder of motor function;1;1;0;
F83;Mixed specific developmental disorders;1;1;0;
F84;Pervasive developmental disorders;0;0;0;
F840;Childhood autism;1;1;0;
F841;Atypical autism;1;1;0;
F842;Rett syndrome;1;1;0;
F843;Other childhood disintegrative disorder;1;1;0;
F844;Overactive disorder associated with mental retardation and stereotyped movements;1;1;0;
F845;Asperger syndrome;1;1;0;
F848;Other pervasive developmental disorders;1;1;0;
F849;Pervasive developmental disorder, unspecified;1;1;0;
F88;Other disorders of psychological development;1;1;0;
F89;Unspecified disorder of psychological development;1;1;0;
F90;Hyperkinetic disorders;0;0;0;
F900;Disturbance of activity and attention;1;1;0;
F901;Hyperkinetic conduct disorder;1;1;0;
F908;Other hyperkinetic disorders;1;1;0;
F909;Hyperkinetic disorder, unspecified;1;1;0;
F91;Conduct disorders;0;0;0;
F910;Conduct disorder confined to the family context;1;1;0;
F911;Unsocialized conduct disorder;1;1;0;
F912;Socialized conduct disorder;1;1;0;
F913;Oppositional defiant disorder;1;1;0;
F918;Other conduct disorders;1;1;0;
F919;Conduct disorder, unspecified;1;1;0;
F92;Mixed disorders of conduct and emotions;0;0;0;
F920;Depressive conduct disorder;1;1;0;
F928;Other mixed disorders of conduct and emotions;1;1;0;
F929;Mixed disorder of conduct and emotions, unspecified;1;1;0;
F93;Emotional disorders with onset specific to childhood;0;0;0;
F930;Separation anxiety disorder of childhood;1;1;0;
F931;Phobic anxiety disorder of childhood;1;1;0;
F932;Social anxiety disorder of childhood;1;1;0;
F933;Sibling rivalry disorder;1;1;0;
F938;Other childhood emotional disorders;1;1;0;
F939;Childhood emotional disorder, unspecified;1;1;0;
F94;Disorders of social functioning with onset specific to childhood and adolescence;0;0;0;
F940;Elective mutism;1;1;0;
F941;Reactive attachment disorder of childhood;1;1;0;
F942;Disinhibited attachment disorder of childhood;1;1;0;
F948;Other childhood disorders of social functioning;1;1;0;
F949;Childhood disorder of social functioning, unspecified;1;1;0;
F95;Tic disorders;0;0;0;
F950;Transient tic disorder;1;1;0;
F951;Chronic motor or vocal tic disorder;1;1;0;
F952;Combined vocal and multiple motor tic disorder [de la Tourette];1;1;0;
F958;Other tic disorders;1;1;0;
F959;Tic disorder, unspecified;1;1;0;
F98;Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence;0;0;0;
F980;Nonorganic enuresis;1;1;0;
F981;Nonorganic encopresis;1;1;0;
F982;Feeding disorder of infancy and childhood;1;1;0;
F983;Pica of infancy and childhood;1;1;0;
F984;Stereotyped movement disorders;1;1;0;
F985;Stuttering [stammering];1;1;0;
F986;Cluttering;1;1;0;
F988;Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence;1;1;0;
F989;Unspecified behavioural and emotional disorders with onset usually occurring in childhood and adolescence;1;1;0;
F99;Mental disorder, not otherwise specified;1;1;0;
G00;Bacterial meningitis, not elsewhere classified;0;0;0;
G000;Haemophilus meningitis;1;1;0;
G001;Pneumococcal meningitis;1;1;0;
G002;Streptococcal meningitis;1;1;0;
G003;Staphylococcal meningitis;1;1;0;
G008;Other bacterial meningitis;1;1;0;
G009;Bacterial meningitis, unspecified;1;1;0;
G01;Meningitis in bacterial diseases classified elsewhere;1;0;0;
G02;Meningitis in other infectious and parasitic diseases classified elsewhere;0;0;0;
G020;Meningitis in viral diseases classified elsewhere;1;0;0;
G021;Meningitis in mycoses;1;0;0;
G028;Meningitis in other specified infectious and parasitic diseases classified elsewhere;1;0;0;
G03;Meningitis due to other and unspecified causes;0;0;0;
G030;Nonpyogenic meningitis;1;1;0;
G031;Chronic meningitis;1;1;0;
G032;Benign recurrent meningitis [Mollaret];1;1;0;
G038;Meningitis due to other specified causes;1;1;0;
G039;Meningitis, unspecified;1;1;0;
G04;Encephalitis, myelitis and encephalomyelitis;0;0;0;
G040;Acute disseminated encephalitis;1;1;0;
G041;Tropical spastic paraplegia;1;1;0;
G042;Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified;1;1;0;
G048;Other encephalitis, myelitis and encephalomyelitis;1;1;0;
G049;Encephalitis, myelitis and encephalomyelitis, unspecified;1;1;0;
G05;Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere;0;0;0;
G050;Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere;1;0;0;
G051;Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere;1;0;0;
G052;Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere;1;0;0;
G058;Encephalitis, myelitis and encephalomyelitis in other diseases classified elsewhere;1;0;0;
G06;Intracranial and intraspinal abscess and granuloma;0;0;0;
G060;Intracranial abscess and granuloma;1;1;0;
G061;Intraspinal abscess and granuloma;1;1;0;
G062;Extradural and subdural abscess, unspecified;1;1;0;
G07;Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere;1;0;0;
G08;Intracranial and intraspinal phlebitis and thrombophlebitis;1;1;0;
G09;Sequelae of inflammatory diseases of central nervous system;1;1;0;
G10;Huntington disease;1;1;0;
G11;Hereditary ataxia;0;0;0;
G110;Congenital nonprogressive ataxia;1;1;0;
G111;Early-onset cerebellar ataxia;1;1;0;
G112;Late-onset cerebellar ataxia;1;1;0;
G113;Cerebellar ataxia with defective DNA repair;1;1;0;
G114;Hereditary spastic paraplegia;1;1;0;
G118;Other hereditary ataxias;1;1;0;
G119;Hereditary ataxia, unspecified;1;1;0;
G12;Spinal muscular atrophy and related syndromes;0;0;0;
G120;Infantile spinal muscular atrophy, type I [Werdnig-Hoffman];1;1;0;
G121;Other inherited spinal muscular atrophy;1;1;0;
G122;Motor neuron disease;1;1;0;
G1220;Motor neuron disease, advanced, grave, severe or similar;1;0;1;G122
G1229;Motor neuron disease, not described as advanced, grave, severe or similar;1;0;1;G122
G128;Other spinal muscular atrophies and related syndromes;1;1;0;
G129;Spinal muscular atrophy, unspecified;1;1;0;
G13;Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere;0;0;0;
G130;Paraneoplastic neuromyopathy and neuropathy;1;0;0;
G131;Other systemic atrophy primarily affecting central nervous system in neoplastic disease;1;0;0;
G132;Systemic atrophy primarily affecting central nervous system in myxoedema;1;0;0;
G138;Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere;1;0;0;
G14;Postpolio syndrome;1;1;0;
G20;Parkinson disease;1;1;0;
G2000;Parkinson’s disease, advanced, grave, severe or similar;1;0;1;G20
G2009;Parkinson’s disease, not described as advanced, grave, severe or similar;1;0;1;G20
G21;Secondary parkinsonism;0;0;0;
G210;Malignant neuroleptic syndrome;1;1;0;
G211;Other drug-induced secondary parkinsonism;1;1;0;
G212;Secondary parkinsonism due to other external agents;1;1;0;
G213;Postencephalitic parkinsonism;1;1;0;
G214;Vascular parkinsonism;1;1;0;
G218;Other secondary parkinsonism;1;1;0;
G219;Secondary parkinsonism, unspecified;1;1;0;
G22;Parkinsonism in diseases classified elsewhere;1;0;0;
G23;Other degenerative diseases of basal ganglia;0;0;0;
G230;Hallervorden-Spatz disease;1;1;0;
G231;Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski];1;1;0;
G232;Multiple system atrophy, parkinsonian type [MSA-P];1;1;0;
G233;Multiple system atrophy, cerebellar type [MSA-C];1;1;0;
G238;Other specified degenerative diseases of basal ganglia;1;1;0;
G239;Degenerative disease of basal ganglia, unspecified;1;1;0;
G24;Dystonia;0;0;0;
G240;Drug-induced dystonia;1;1;0;
G241;Idiopathic familial dystonia;1;1;0;
G242;Idiopathic nonfamilial dystonia;1;1;0;
G243;Spasmodic torticollis;1;1;0;
G244;Idiopathic orofacial dystonia;1;1;0;
G245;Blepharospasm;1;1;0;
G248;Other dystonia;1;1;0;
G249;Dystonia, unspecified;1;1;0;
G25;Other extrapyramidal and movement disorders;0;0;0;
G250;Essential tremor;1;1;0;
G251;Drug-induced tremor;1;1;0;
G252;Other specified forms of tremor;1;1;0;
G253;Myoclonus;1;1;0;
G254;Drug-induced chorea;1;1;0;
G255;Other chorea;1;1;0;
G256;Drug-induced tics and other tics of organic origin;1;1;0;
G258;Other specified extrapyramidal and movement disorders;1;1;0;
G259;Extrapyramidal and movement disorder, unspecified;1;1;0;
G26;Extrapyramidal and movement disorders in diseases classified elsewhere;1;0;0;
G30;Alzheimer disease;0;0;0;
G300;Alzheimer disease with early onset;1;1;0;
G301;Alzheimer disease with late onset;1;1;0;
G308;Other Alzheimer disease;1;1;0;
G309;Alzheimer disease, unspecified;1;1;0;
G31;Other degenerative diseases of nervous system, not elsewhere classified;0;0;0;
G310;Circumscribed brain atrophy;1;1;0;
G311;Senile degeneration of brain, not elsewhere classified;1;1;0;
G312;Degeneration of nervous system due to alcohol;1;1;0;
G318;Other specified degenerative diseases of nervous system;1;1;0;
G319;Degenerative disease of nervous system, unspecified;1;1;0;
G32;Other degenerative disorders of nervous system in diseases classified elsewhere;0;0;0;
G320;Subacute combined degeneration of spinal cord in diseases classified elsewhere;1;0;0;
G328;Other specified degenerative disorders of nervous system in diseases classified elsewhere;1;0;0;
G35;Multiple sclerosis;1;1;0;
G36;Other acute disseminated demyelination;0;0;0;
G360;Neuromyelitis optica [Devic];1;1;0;
G361;Acute and subacute haemorrhagic leukoencephalitis [Hurst];1;1;0;
G368;Other specified acute disseminated demyelination;1;1;0;
G369;Acute disseminated demyelination, unspecified;1;1;0;
G37;Other demyelinating diseases of central nervous system;0;0;0;
G370;Diffuse sclerosis;1;1;0;
G371;Central demyelination of corpus callosum;1;1;0;
G372;Central pontine myelinolysis;1;1;0;
G373;Acute transverse myelitis in demyelinating disease of central nervous system;1;1;0;
G374;Subacute necrotizing myelitis;1;1;0;
G375;Concentric sclerosis [Baló];1;1;0;
G378;Other specified demyelinating diseases of central nervous system;1;1;0;
G379;Demyelinating disease of central nervous system, unspecified;1;1;0;
G40;Epilepsy;0;0;0;
G400;Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset;1;1;0;
G401;Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures;1;1;0;
G402;Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures;1;1;0;
G403;Generalized idiopathic epilepsy and epileptic syndromes;1;1;0;
G404;Other generalized epilepsy and epileptic syndromes;1;1;0;
G405;Special epileptic syndromes;1;1;0;
G406;Grand mal seizures, unspecified (with or without petit mal);1;1;0;
G407;Petit mal, unspecified, without grand mal seizures;1;1;0;
G408;Other epilepsy;1;1;0;
G409;Epilepsy, unspecified;1;1;0;
G41;Status epilepticus;0;0;0;
G410;Grand mal status epilepticus;1;1;0;
G411;Petit mal status epilepticus;1;1;0;
G412;Complex partial status epilepticus;1;1;0;
G418;Other status epilepticus;1;1;0;
G419;Status epilepticus, unspecified;1;1;0;
G43;Migraine;0;0;0;
G430;Migraine without aura [common migraine];1;1;0;
G431;Migraine with aura [classical migraine];1;1;0;
G432;Status migrainosus;1;1;0;
G433;Complicated migraine;1;1;0;
G438;Other migraine;1;1;0;
G439;Migraine, unspecified;1;1;0;
G44;Other headache syndromes;0;0;0;
G440;Cluster headache syndrome;1;1;0;
G441;Vascular headache, not elsewhere classified;1;1;0;
G442;Tension-type headache;1;1;0;
G443;Chronic post-traumatic headache;1;1;0;
G444;Drug-induced headache, not elsewhere classified;1;1;0;
G448;Other specified headache syndromes;1;1;0;
G45;Transient cerebral ischaemic attacks and related syndromes;0;0;0;
G450;Vertebro-basilar artery syndrome;1;1;0;
G451;Carotid artery syndrome (hemispheric);1;1;0;
G452;Multiple and bilateral precerebral artery syndromes;1;1;0;
G453;Amaurosis fugax;1;1;0;
G454;Transient global amnesia;1;1;0;
G458;Other transient cerebral ischaemic attacks and related syndromes;1;1;0;
G459;Transient cerebral ischaemic attack, unspecified;1;1;0;
G46;Vascular syndromes of brain in cerebrovascular diseases;0;0;0;
G460;Middle cerebral artery syndrome;1;0;0;
G461;Anterior cerebral artery syndrome;1;0;0;
G462;Posterior cerebral artery syndrome;1;0;0;
G463;Brain stem stroke syndrome;1;0;0;
G464;Cerebellar stroke syndrome;1;0;0;
G465;Pure motor lacunar syndrome;1;0;0;
G466;Pure sensory lacunar syndrome;1;0;0;
G467;Other lacunar syndromes;1;0;0;
G468;Other vascular syndromes of brain in cerebrovascular diseases;1;0;0;
G47;Sleep disorders;0;0;0;
G470;Disorders of initiating and maintaining sleep [insomnias];1;1;0;
